72887	10.083187	1.093757	1
59684	4.334389	0.454933	1
37815	8.395747	0.999218	3
39344	8.266020	1.201645	3
7782	7.753142	0.228871	2
34058	9.414292	0.640194	3
20236	6.284357	0.195704	2
35663	12.315263	0.642529	3
6756	6.174028	1.122330	2
14050	0.939812	1.029787	2
14262	5.304127	0.339101	2
5570	7.332607	1.469116	2
45570	10.405788	0.113251	3
32639	8.712712	0.217710	3
31649	13.100068	1.692594	3
44896	9.380901	0.941464	3
4292	2.639064	1.168954	2
83025	18.923267	1.350447	1
3843	0.000000	0.463079	2
13353	4.823804	0.207890	2
56864	8.836966	1.660208	3
15196	2.601406	0.924990	2
53863	0.107276	0.229993	1
53832	3.538224	1.335354	1
69657	5.347247	1.215342	1
65521	9.986967	0.663590	1
67087	9.716672	1.141886	1
57190	10.793067	1.026508	3
11260	3.927703	0.123936	2
26914	2.411864	1.679438	1
10530	0.000000	1.548362	2
24575	2.577395	0.308596	1
5052	0.000000	1.075380	2
45358	11.525071	1.499663	3
8966	5.344173	1.204965	2
62370	8.203098	0.782258	1
74512	10.442006	0.808993	1
39582	4.873977	0.150877	1
47145	5.457040	0.618846	1
75675	11.410000	0.691218	1
36489	10.869636	1.035447	3
1305	5.444852	1.550024	2
23991	10.150013	1.397090	3
420	0.000000	1.135473	2
7627	0.000000	0.637310	2
46448	8.617019	1.229933	3
10170	6.599227	0.183157	2
4361	6.250565	1.296870	2
36406	9.794886	1.329860	3
29286	1.422311	0.847432	1
25879	3.071163	1.468652	1
34684	3.318122	1.422572	1
16336	13.406971	1.418286	3
9860	0.000000	0.814450	2
37565	8.822803	0.965819	3
67163	9.235641	1.380477	1
12665	2.453166	0.783254	2
19860	2.084457	1.155245	2
11076	0.000000	0.631057	2
14178	0.105406	1.123821	2
3769	0.000000	1.187449	2
32720	11.022060	1.282324	3
13520	2.727712	1.145145	2
4537	3.712478	1.480957	2
33598	2.388057	0.929743	1
41237	3.736505	0.485625	1
10190	1.914415	0.023842	2
25617	2.137946	1.407636	1
33869	7.735594	0.414649	3
8597	1.585677	1.163393	2
34434	7.471575	0.134215	3
61056	8.776981	0.108303	1
40344	8.358176	1.372280	3
71629	12.049417	0.834934	1
34821	10.980379	1.052314	3
16838	10.625864	0.115733	3
30263	9.674044	0.823208	3
33902	7.494938	1.554774	3
14708	7.173969	0.181763	2
33453	11.910111	0.498526	3
1199	4.904320	1.081134	2
71889	11.444503	1.291454	1
44941	6.159824	0.361852	1
72305	13.254868	1.085330	1
9509	5.699186	0.378481	2
57696	1.131442	1.554289	1
24146	10.887686	0.980010	3
